Municipality,FunctionArea,CostType,2017,2018,2019,2020,2021,2022,2023
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,114,120,267,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,8142,8887,8925,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,11407,12272,13085,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,23725,25799,27158,.,.,.,.
1221 Stord (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,848,1019,993,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,171,178,181,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,4857,5165,5472,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,12362,13005,13493,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,20776,22184,22980,.,.,.,.
1222 Fitjar (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,831,847,848,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,13,14,66,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,8817,8939,8488,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,15998,17045,17669,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,27722,29098,29306,.,.,.,.
1223 Tysnes (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,762,735,739,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,222,220,220,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,8770,8648,7997,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,11407,11729,11820,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,25651,26183,26064,.,.,.,.
1224 Kvinnherad (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,657,731,815,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,188,284,457,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,8799,9344,10706,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,13640,14273,15771,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,26625,28077,31473,.,.,.,.
1227 Jondal (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,520,566,611,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,404,400,360,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,17159,18046,19066,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,13394,13643,14349,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,36967,38144,40539,.,.,.,.
1228 Odda (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,460,496,516,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,424,449,482,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,10533,10680,11334,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,15684,16421,17569,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,32138,32458,34641,.,.,.,.
1231 Ullensvang (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,864,831,533,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,4,3,4,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,16933,17225,17041,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,7977,8960,10745,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,29635,31240,32825,.,.,.,.
1232 Eidfjord (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,348,479,477,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,79,78,1,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,23885,26107,28302,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,2522,4407,3734,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,33207,38905,39459,.,.,.,.
1233 Ulvik (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,755,813,750,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,0,0,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,15309,16994,17434,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,5231,5094,5461,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,26899,27886,29006,.,.,.,.
1234 Granvin (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,690,713,65,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,0,0,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,11626,12173,12801,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,7809,8197,9320,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,22249,23098,24502,.,.,.,.
1235 Voss (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,623,554,561,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,129,70,26,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,10779,11164,11744,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,7842,8519,8874,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,22325,23752,24928,.,.,.,.
1238 Kvam (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,818,997,1006,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,277,286,197,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,8601,9512,10031,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,13042,13483,14104,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,25784,27605,28883,.,.,.,.
1241 Fusa (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,782,689,938,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,35,95,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,11290,11152,11995,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,12112,12672,13449,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,27522,28218,30939,.,.,.,.
1242 Samnanger (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,418,488,383,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,108,463,386,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,10132,10006,10189,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,8815,9244,9481,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,22739,23482,23792,.,.,.,.
1243 Os (Hordaland) (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,644,773,793,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,239,206,222,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,3030,3085,4369,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,10951,12778,14009,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,17194,19663,22355,.,.,.,.
1244 Austevoll (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,1057,1105,1018,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,140,284,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,180,196,348,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,3622,4573,4252,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,8629,9780,10032,.,.,.,.
1245 Sund (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,587,812,827,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,119,171,124,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,6356,6639,6760,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,4090,4386,4875,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,15502,16712,17486,.,.,.,.
1246 Fjell (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,681,791,848,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,31,27,28,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,2659,2860,3052,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,6204,6609,7013,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,12854,13843,14672,.,.,.,.
1247 Askøy (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,554,704,709,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,300,416,471,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,3102,4192,4838,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,7127,7676,7772,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,13322,15715,16433,.,.,.,.
1251 Vaksdal (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,306,332,538,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,0,0,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,12666,12889,12626,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,12100,12965,13516,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,29013,30436,31217,.,.,.,.
1252 Modalen (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,0,0,0,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,0,0,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,28074,27100,31374,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,4466,3982,3771,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,46832,45368,50284,.,.,.,.
1253 Osterøy (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,482,527,666,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,278,309,491,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,7801,8630,8263,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,12129,11648,12513,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,22091,22536,23594,.,.,.,.
1256 Meland (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,476,530,648,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,0,0,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,5839,6146,6204,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,8211,8469,9981,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,18085,19041,21001,.,.,.,.
1259 Øygarden (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,622,652,721,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,483,504,552,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,11869,12867,14159,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,8891,8782,9214,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,26995,28546,30595,.,.,.,.
1260 Radøy (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,463,485,541,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,0,0,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,8535,8297,10564,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,11773,12499,12696,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,23011,23574,26197,.,.,.,.
1263 Lindås (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,629,687,649,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,126,135,148,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,6136,6677,7682,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,11729,13340,15039,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,21549,23857,26818,.,.,.,.
1264 Austrheim (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,518,647,547,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,586,634,505,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,9662,10487,11086,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,9748,10122,10017,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,25930,27638,27261,.,.,.,.
1265 Fedje (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,0,0,2,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,1481,1931,2265,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,23118,24696,28759,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,8278,7717,8245,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,37357,38858,44843,.,.,.,.
1266 Masfjorden (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,661,725,835,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,0,0,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,19532,15854,15426,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,8401,14022,14949,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,35273,37743,38367,.,.,.,.
1401 Flora (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,757,855,862,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,511,635,607,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,6450,7173,7638,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,11306,11856,12419,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,22746,24779,26469,.,.,.,.
1411 Gulen (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,499,614,917,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,309,0,0,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,10137,9697,9286,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,20560,23077,24301,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,34668,37768,38963,.,.,.,.
1412 Solund (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,621,649,794,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,286,301,310,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,21226,22356,25036,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,3202,2930,2749,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,32952,34741,37833,.,.,.,.
1413 Hyllestad (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,723,316,546,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,491,307,304,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,14348,13510,17081,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,13520,13296,15669,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,37161,35863,43715,.,.,.,.
1416 Høyanger (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,528,621,632,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,111,97,279,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,11195,12132,12923,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,11377,12283,12791,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,28102,30669,32820,.,.,.,.
1417 Vik (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,659,682,724,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,3,7,0,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,15864,16186,17563,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,12510,12730,13422,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,34855,35510,38357,.,.,.,.
1418 Balestrand (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,548,510,634,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,466,59,5,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,18040,18278,19265,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,28209,28803,29414,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,54544,56199,58086,.,.,.,.
1419 Leikanger (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,814,847,790,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,137,0,0,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,10575,13479,16043,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,5691,10298,15869,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,23493,28860,36116,.,.,.,.
1420 Sogndal (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,870,1135,1261,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,49,57,27,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,5346,5376,5837,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,11489,11729,13313,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,20932,21966,24173,.,.,.,.
1421 Aurland (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,403,675,901,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,66,371,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,11943,12726,12988,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,12527,13291,15241,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,33179,35993,39385,.,.,.,.
1422 Lærdal (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,484,547,619,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,520,630,876,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,13195,13137,11943,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,12219,12969,13501,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,37071,38916,39943,.,.,.,.
1424 Årdal (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,551,622,640,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,16,32,51,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,11312,12270,11970,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,15713,17116,18257,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,30666,33344,34211,.,.,.,.
1426 Luster (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,698,818,821,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,340,532,593,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,7746,7139,7727,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,14594,15365,16034,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,27061,28878,31551,.,.,.,.
1428 Askvoll (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,574,782,807,.,.,.,.
